Tweet_Count,User_Name,Tweet_Text,Created_At,Retweet_Count,Favorite_Count
1,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"有人问我，为什么红州的那些制造业工人，不愿意去蓝州从事服务业，顺应时代潮流？

我反问他们：假设一个沈阳人，在沈阳钢铁厂、华晨宝马干了十多年，埋头苦干，生活平稳幸福，40岁下岗，

这时候，你跳出来问他们，“你们为什么不愿意来上海送外卖、干烤串？”

你猜猜曾经作为骄傲的工人，听你这么说， 会不会当场扇你个大嘴巴子？

你们现实中肯定认识或者见过这种人：一个骄傲的东北工人，觉得全中国都必须围着他转，全中国都欠东北的，东北钢厂必须不能倒闭，东北华晨宝马必须永远成功，我作为光荣的东北工人，全中国只有我的贡献最大，

现在产业转向长三角和珠三角，不是我的问题，不是工厂的问题，不是东北的问题，是全中国的问题，你们欠我的，必须还回来，

在他们脑子中，只有一种解法：必须把江浙沪、唐山的钢厂全部解散，必须买我们沈阳的钢铁、沈阳的煤炭、沈阳的汽车。

只要全中国不这么做，就是全中国欠我们沈阳人的债，就是你们全体中国人对不起我们东北人。

——在他们眼里，这就是唯一解，只要你们用南方的便宜钢材，开10万一辆的比亚迪，不开我们东北华晨30万一辆的合资宝马，就是害我们东北，就是打压我们东北。

这种沈阳人的精神状态，和JD Vance被《乡下人的悲歌》书中拿来宣传和遮羞的五大湖区绝大多数福特工厂、制造业工厂的工人，状态是一样的。

来，你们说说，从你们的角度来看，是否应该满足他们的要求。",Sun Nov 03 19:54:11 +0000 2024,5,73
2,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,https://t.co/YAEE1X79w5,Sun Nov 03 15:31:00 +0000 2024,12,352
3,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,来，让王志安粉丝们对号入座一下 https://t.co/tSBL099hjg,Sun Nov 03 15:15:23 +0000 2024,12,264
4,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,Trump果然第一时间引用了AtlasIntel的民调结果 https://t.co/NelOpQBk87,Sun Nov 03 13:01:17 +0000 2024,1,49
5,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,傻逼姜萍粉丝，打脸不？,Sun Nov 03 12:45:33 +0000 2024,0,68
6,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"我反复跟你们讲过，

我对阿里和公众关注焦点极其不满的原因，是因为你们只把关注聚焦在了姜萍和王闰秋师生身上，

而王闰秋好友田金方，王闰秋共同作者、泉州师范数学系副主任赖宝锋、泉州师范学生邹鑫旻——这些人也全都是王闰秋作弊集团成员，并且是我首发揭露的。

到今天为止，这些人依然逍遥法外。",Sun Nov 03 12:44:04 +0000 2024,15,351
7,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"还有人试图接盘成都房子，张口闭口核心区。

1. 天府新区的土地造楼盘，可以让整个云贵川1亿人搬进去住，还幻想“土地不够用”的人，都是纯纯大傻逼；

2. “大面积核心豪宅”从来都不保值，因为一栋楼可以建30层，几十亩地可以盖几千万的所谓泡沫资产——洗脑“豪宅保值”的也都是纯纯大傻逼；

3. 豪宅从来都是消费品，不要拿富豪都当成大傻逼，富豪买豪宅只买新的，不可能买二手的。

100%新建的豪宅永远值钱，二手豪宅永远是垃圾，垃圾中的垃圾，贬值永远比普通民宅快得多。

不要拿富豪都当傻逼，哪个傻逼富豪会买二手豪宅自住、投资？

（完）",Sun Nov 03 09:21:17 +0000 2024,16,223
8,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"关注美国大选倒计时：

https://t.co/qENPKAmg5e",Sun Nov 03 09:12:41 +0000 2024,1,11
9,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,解答世间万物（不要用蓝牙耳机） https://t.co/qENPKAmg5e,Sun Nov 03 09:12:29 +0000 2024,0,7
10,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"今年选举充满了各种极端、反常、妖魔、突破认知底线的数据。

比如被认为过去10年唯一绝对100%正确预测所有Iowa选举的Ann Selzer，这次预测传统红州Iowa直接翻蓝，中年女性集体站Harris，反超Trump；

比如2020年被普遍认为各项民调方差最小、“最准确”的巴西机构AtlasIntel，预测今年摇摆州全面翻红。

党哥还是想跟你们讲，2024年选举是个极其复杂、连续多次反转的事件，

从电视辩论、Trump枪击案、拜登退选、Harris高调入场、JD Vance被攻击、Tim Waltz被攻击、Trump反超Harris、Harris强势反弹，整个舆情已经经历了七八轮反转了。

朋友们，网友们，同志们，不要赌博，不要提前预测，

这时候任何信誓旦旦拍胸脯跟你预测大选结果的人，都是臭傻逼，都是赌博，都是信口胡说，都是不负责任的放屁。

静静等待开票就好了。",Sun Nov 03 08:32:21 +0000 2024,9,194
